x y z
-3.053291921 1.083613772 0.028104335
-3.166224324 1.532779882 -0.126530056
-4.379810467 1.929241714 -0.393051079
-2.655050351 1.290343631 0.326529186
-2.711644895 1.19900717 0.190276588
-3.164873512 1.136340866 -0.09381101
-2.689000845 1.318512129 0.220927448
-2.744718949 1.225435563 0.082911134
-3.132239681 1.135484126 -0.092946527
-2.584693688 1.275814911 0.318833212
-2.702416366 1.214804641 0.190148498
-3.187834564 1.164508262 0.029440159
-2.778201389 1.382128705 0.575893561
-3.104509277 1.405322762 0.469776117
-2.680703033 1.098283669 0.264358059
-2.663508709 1.327390673 0.110631239
-2.56793116 1.2871962 0.317733775
-2.711249845 1.238828793 0.191301296
-3.046486515 1.261814237 0.059572352
-3.167543078 1.451865726 -0.157800403
-2.703849368 1.365899657 0.562207858
-3.35406245 1.396811819 0.465564478
-2.577274387 1.313937685 0.884222421
-2.575495265 1.321922356 0.763794127
-2.98072086 1.391898824 0.703147402
-3.101233577 1.321127175 -0.185335303
-2.576807535 1.333683069 0.886853191
-2.997689777 1.284923635 0.058922077
-2.570126527 1.338014059 0.42802892
-2.679593209 1.273946269 0.298605448
-2.704283996 1.167648543 0.161074831
-2.580427921 1.35569591 0.890945465
-2.569329159 1.347634004 0.320922117
-2.727583104 1.307504734 0.194119269
-2.940256055 1.28171788 0.057946665
-2.561374479 1.353669594 0.649538259
-2.88783097 1.392436996 0.562651035
-3.189693725 1.397798354 0.446245391
-2.588226695 1.369132333 0.215998337
-2.749929844 1.330383981 0.084262193
-2.55673267 1.3612675 0.537573618
-2.623556371 1.276021312 0.402177507
-2.695807758 1.192419348 0.268992709
-2.56059604 1.0251472 0.124669542
-3.406997291 1.81862746 0.00262878
-2.557742958 1.371893393 0.538668494
-2.577821955 1.263571519 0.39575907
-2.719421752 1.212853434 0.271718994
-2.610236318 1.054324034 0.1272433
-3.396117428 1.82622982 0.002624696
-4.245859185 1.904755999 -0.426043909
-2.52405941 1.363643969 0.423791001
-2.608004777 1.289324321 0.292797571
-2.746149748 1.236041422 0.164678542
-3.4159794 1.39240122 0.031999042
-4.21277514 1.905461345 -0.42330877
-2.556358733 1.391242577 0.429928671
-2.698323776 1.223348568 0.270355866
-2.824544409 1.161096262 0.138035049
-4.38688946 1.808707944 -0.306271401
-2.571078168 1.410662177 0.773743336
-2.662254283 1.333916786 0.636469654
-3.124568339 1.426784821 0.440144647
-2.572166481 1.411551418 0.216439754
-2.601491356 1.308189872 0.080319294
-2.556524069 1.411908466 0.654788833
-3.056633831 1.405173478 0.557293818
-3.395716153 1.416271589 0.436246636
-2.760952054 1.273391485 0.166261985
-3.387337291 1.417220974 0.03185158
-2.568101408 1.430715466 0.898545414
-2.609766453 1.326968092 0.740726109
-2.569381498 1.429137804 0.434312711
-2.705452083 1.37906928 0.305614954
-2.76699212 1.28648665 0.166862606
-2.562284067 1.43567682 0.658507984
-2.629922397 1.349705809 0.407503451
-2.745338191 1.285508323 0.276626304
-2.731985594 1.533269689 0.11646371
-4.328518826 1.84889593 -0.477358001
-2.56108735 1.445348248 0.54578505
-2.614329742 1.351852692 0.405728155
-2.857348246 1.224376956 0.254209839
-2.755843579 1.30333972 0.055074623
-2.576550009 1.340065169 0.853431153
-2.562999866 1.456635636 0.435481796
-2.732078899 1.555442544 0.11687236
-2.575253056 1.349444759 0.735575371
-2.916486679 1.39439015 0.658166162
-2.880404216 1.379919389 0.409259516
-2.761312633 1.326719729 0.055345571
